Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_txt,job_state,is_hq,Age,excel,SQL,python,tableau
Default Senior Business Analyst,$32K-$64K (Glassdoor est.),"Who is Cenlar?

You are.

Employee-owners have made Cenlar one of the nation’s largest mortgage subservicers. We have achieved success by empowering people with company ownership, real programs that provide avenues for advancement, and a great atmosphere that makes everyone look forward to the workday. Get your share of our success by considering the opportunity to join our team as a Default Senior Business Analyst.

Responsibilities:
Analyze data to identify high risk requiring reserves, including developing new reports and enhancing existing to eliminate manual manipulation.
Assist with special projects including system enhancements, upgrades and new integrations.
Identify and mitigate risk to the default areas and company by developing exception reporting, modifying processes and workflow, etc.
Assist default business units develop and help manage implementation of system configuration modifications such as LoanSphere process improvement/creation.
Develop and maintain system reconciliation reporting and processes across multiple default workstation platforms.
Provide feedback and recommend adjustments in reporting to streamline default processes
Main point of contact and subject matter expert on BKFS and internal reporting.
Work with Servicing Reporting group to submit report requests and create/run queries as needed.
Other duties as assigned by management
Qualifications:
Bachelor’s degree
10+ years in default servicing
Experience with BKFS, MSP
Understanding system integrations, including MSP to LoanSphere
Strong interpersonal, verbal, and written communication and presentation skills
Ability to interact with vendors and clients as necessary
Strong mathematics and logic skills
Strong organizational skills to multi-task and meet deadlines
Ability to work in a team-based atmosphere
Ability to multi-task and operate in a fast pace work environment
Strong Microsoft office skills, including excel, word, PowerPoint, outlook
Total Rewards:

Cenlar FSB offers outstanding benefits which may include paid medical/dental/life insurance, 401k, employee ownership, tuition assistance, a supportive work environment, and genuine opportunities for advancement. Cenlar is a Drug Free Workplace and an Equal Employment Opportunity/Affirmative Action Employer -- M/F/D/V/SO.

Visit www.cenlar.com for more details.

Please apply online.",2.6,"Cenlar
2.6","O'Fallon, MO","Ewing, NJ",1001 to 5000 employees,1958,Company - Private,-1,-1,$100 to $500 million (USD),-1,32,64,48.0,Cenlar, MO,0,62,1,0,0,0
Business Analyst,$32K-$64K (Glassdoor est.),"The primary focus of the Business Analyst is to identify, document and communicate the requirements and direction of new and existing products that meet the market demand and customer expectations.

What you will do:
Work with cross-functional teams to manage products through concept, development, introduction, and revenue attainment.
During concept phase, create a product requirements document that defines market, user, and support requirements.
Lead requirements gathering interfacing with customer’s business, product, and technical teams.
Clearly identify and document customers’ business needs to justify product requirements. Develop and present business cases on major projects to obtain approval for inclusion in the product plan and ensure the plan and projections identified are met.
During development phase, work closely with developers and project managers to ensure that the customer requirements are being met.
During the implementation and launch, work with other internal departments to ensure all elements of the launch come together to support quick adoption by new and existing customers.
Lead internal Farelogix functional design sessions with product and technical teams.
Create, review and update functional requirements docs and high level workflow technical design documentation for implementation of systems and applications projects.
Support internal QA, development and functional support teams by assisting with functional questions.
Expected to become the subject matter expert (SME) over time and as new projects are completed.
Create Use Case documentation based on business requirements.
Support the Sales team during the sales process or proof of concept phases.
Work with Management to establish product priorities /Participate in high level design of products
Support implementation and launch to the market / Manage pilot/beta tests
Review / Validate functional specifications and conduct overview testing as necessary
Manage customer expectations with respect to product functionality
Conduct internal training and/or Quality Assurance
Participation in industry meetings as needed
Contribute to RFP’s as requested

Your Experience:
Strong overall knowledge of the Software Development Life Cycle
Good understanding of test environments and functions related to customer software development.
Exceptional written and verbal communication skills
Great time management and presentation skills
Works well in team environment
Strong organizational and analytical skills

Preferred
7+ years’ exp in the travel industry (preferably with anairline reservation systems or GDS)
Prior knowledge and experience with XML-based system interfaces, schema design, and XML based tools are preferred
Experience in a technical role or software developer",4.4,"Farelogix
4.4","Miami, FL","Miami, FL",201 to 500 employees,1998,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Datalex, Sabre, ITA Software",32,64,48.0,Farelogix, FL,1,22,0,0,0,0
Business Analyst,$32K-$64K (Glassdoor est.),"Teaching Strategies is a dynamic early childhood education company that provides the most innovative and effective curriculum, assessment, professional development, and family connection resources to programs serving children from birth through kindergarten. With ground-breaking solutions and a strong belief that the most powerful way to impact child outcomes is to improve teacher effectiveness, Teaching Strategies has been supporting the critical work of early childhood educators for over 25 years.

Position overview
The Business Analyst will support the information needs of the business. He/she will gather and analyze data requirements to support pipeline and CRM applications, ad-hoc reporting, and self-service analytics platforms. He/she will be responsible for developing and managing processes, information flows, and data governance standards across various systems and business groups.

Duties:

Monitor, analyze and report key revenue performance drivers including market penetration and pricing
Responsible for the capture, delivery, and record-keeping of business information needs such as forecasting, variance analysis, identification and communication of risks & opportunities, industry & competitive analysis, board meeting support and financial closes.
Will collaborate with team members on the development of analytical models, interactive self-service dashboards, and guided reporting tools to support prospect, customer, sales and financial metrics reporting across the organization.
Establish and maintain strong relationships with all key stakeholders in Sales, Technology, Marketing and Finance to ensure consistent and open dialogue and a combined commitment to process improvements and data cleanliness.
Support VP and CEO in budget planning process, monthly financial close, and corporate forecast reporting
Display ingenuity through development of new analytical products that improve story-telling and issue identification
Work with internal and external stakeholders to develop tools and services such as modeling, dashboards, hypothesis generation and testing, scorecards, and data insights
Consult with departments across the organization to understand, document, and analyze data requirements and translate those requirements into analytics/reporting requirements
Conceptualize, design, and support the implementation of analytics and reports for business partners
Identify business data needs (and gaps) to support business goals
Stay current with new analytical tools and industry trends
Map business processes and data flow across systems and business groups

Qualifications:

Bachelor's degree in Accounting/Finance/Business or Information Systems
Minimum of 5-7 years of related business/financial analysis experience in a professional private sector environment
Familiarity with the Education market and Sales greatly desired
Strong understanding of accounting/financial concepts
High proficiency in MS Office products required, (particularly Excel)
Experience utilizing Access and PowerPoint and familiarity with process charting tools as Visio is highly desired.
Prior experience customizing and maximizing the use of SalesForce.com or similar CRM Knowledge of dashboards/scorecards, and basic statistical techniques
Proficient at modeling, processing, and preparing data for analysis
Strong analytical skills, critical thinking, decision support and performance analysis, forecasting, and planning
Exceptional communications skills including demonstrated strength in creating presentations
Ability to professionally interacting with all levels of co-workers.
Excellent project management, communication, analytical, and problem solving skills
Ability to present complex information in an understandable and compelling manner
Ability to independently manage workload with regard to prioritization and time
Persistent attention to detail with ability to multi-task
High energy and sense of urgency in completing all tasks

Essential Job Functions:

Ability to frequently answer the telephone and communicate verbally
Ability to frequently read and understand text via computer and mobile device
Ability to frequently stand and/or sit for extended periods of time based on the task
Ability to frequently manipulate computer keyboard, mouse, and mobile device
Ability to travel up to 15% as needed by car, train, bus, and/or airplane

This position description is a summary of the most pertinent responsibilities. It is not intended to be inclusive of all responsibilities. All employees may be required to perform other appropriate duties as assigned by management.

Teaching Strategies, LLC is an equal opportunity employer of Minorities, Females, Protected Veterans and Individual with Disabilities.",3.1,"Teaching Strategies, LLC
3.1","Bethesda, MD","Bethesda, MD",51 to 200 employees,1988,Company - Private,Preschool & Child Care,Education,$50 to $100 million (USD),"Frog Street Press, Scholastic",32,64,48.0,"Teaching Strategies, LLC", MD,1,32,1,0,0,0
Senior Business Analyst,$32K-$64K (Glassdoor est.),"Senior Business Analyst Northern, VA

Senior Business Analyst

Required Experience
Active SECRET level security clearance
Minimum 5 years of Business Analysis experience working on all phases of the System Development Life Cycle (SDLC): from Planning and Analysis through Maintenance, including experience following Waterfall and Agile methodologies.
Minimum 5 years of experience developing Unified Modeling Language (UML) diagrams and Data flow diagrams (DFD) for process mapping using UML tools such as Rational Rose or Microsoft Visio.
Minimum 5 years of experience in requirements gathering using one or more of the following: Joint Application Development (JAD) sessions, Storyboard Sessions, Interviews and Workshops. Requirements gathering sessions should include Clients, Stake Holders, End-users, Subject Matter Expertise (SME), and the project team.
Extensive experience in writing and managing Use Cases (UC), Business Analysis Documents (BAD), Business Requirement Documents (BRD), Functional Requirement Documents (FRD), Business Process Documents (BPD), System Requirement Specifications (SRS), and Screen Design Specification.
Experience managing requirement documents and creating the different views (Attribute Matrix, and Traceability Matrix) using IBM Rational RequisitePro or a similar product.
Lead the effort or involved in giving trainings to the end users. Documenting training manuals for new product releases.
Experience in handling multiple projects concurrently and following the team business process.
Preferred Experience
Experience documenting or working closing with the Test Team to document Test Plans.
Creating, importing, and executing test cases, logging defects and performing manual testing using Rational Application Lifecycle Management (ALM) or some other automated test tool.
Expertise in Graphical User Interface (GUI) Testing, Functional Testing, Performance Testing, User Acceptance Testing (UAT), Unit Testing, Integration Testing and Stress/ Load Testing.
Experience with U.S. Army Readiness business processes.
Position Details
Location – Northern, Virginia
Travel Required – N/A
If travel is required, how much? 0%
Work Schedule (Shift etc.): Day Shift
Authorization to work in US required
8570 Requirements: N/A
NuWave Solutions is an EOE AA M/F/Vet/Disability
Who We Are
NuWave Solutions is a leader in providing advanced technologies for Analytics and Data Management, and a passion for working with public sector customers and partners to enable innovative solutions for action through insight. Our unmatched technical expertise and dedication to teamwork and customer service enables us to help customers meet even the most complex business challenges and succeed on every engagement – with no exceptions and no excuses.

Tagged as: Senior Business Analyst",4.5,"NuWave Solutions
4.5",Virginia,"Mc Lean, VA",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,32,64,48.0,NuWave Solutions,Virginia,0,21,0,0,0,0
Business Analyst,$32K-$64K (Glassdoor est.),"This position will be a member of a high-performing technology development team consisting of technical and business resources. It will play an important role in supporting the commercialization of several software products to assist SullivanCotter clients with administration of performance-based physician compensation plans.

The position is ideal for candidates that demonstrate strong analytic capabilities; experience with data management, automation and technology; and a desire to assist health care organizations as they navigate the complexities of health care reform. The Business Analyst is a key resource for health care organizations as they implement new solutions. Approximately 60% of this position will be assisting with new client implementations and 40% will be client support, post implementation.

PRIMARY DUTIES AND RESPONSIBILITIES
Assist with implementation process of the various Provider Performance Management Technology (PPMT) modules for current and potential clients. Including, but not limited to:
Work with implementation lead and IT to map import specifications, populate and audit tables with client logic and specific programming.
Assists in system configuration, data load and testing during client implementations.
Understand and complete security set-up based on roles and functions for each client implementation.
Process, validate and review system data, data reconciliation and parallel test.
Develop reporting requirements, including detailed design.
Test client custom reports; including building test data and working with development on team on issues.
Assist with developing, organizing and coordinating training materials for clients.
Ensure efficient client implementations with a positive and professional client experience:
Assist implementation lead by developing and updating basic project plans to support each implementation.
Proactively manage tasks based on the type of implementation and client specifics.
Work with implementation lead to create and maintain standard implementation materials (checklists, how to documentation). Once developed, work within agreed upon standard documents and process.‒ Work with implementation lead to guide client throughout implementation.
Create clear, concise – yet detailed - documentation of all actions taken throughout the implementation and stored in appropriate TFS folders.
Responsible for documenting all client testing and user acceptance sign off.
Log any bugs or feature requests for consideration in roadmap planning.
Support clients post implementation:
Understand client requests and translate them into table uploads and manual modifications as required.
Follow established policies and procedures regarding how problems are identified, received, documented, distributed and corrected.
Accurately track help desk support through use of help desk software.
Meets established service level agreements for general response times and issue resolution.
Provides references for users by writing and maintaining user documentation; providing help desk support.
The Business Analyst is expected to participate in other team responsibilities as needed to meet client needs, including:
Testing and implementation of database and reporting systems, including testing of web page functionality, database processing and online analytic reporting.
Assist clients with troubleshooting of system processing and online reporting issues as needed.
Maintains user confidence and protects operations by keeping information confidential.
EDUCATION AND EXPERIENCE REQUIREMENTS
Bachelor’s degree.
Minimum of three years’ experience working with significant data management responsibilities or software and analytic tools.
Advanced understanding of data management and analytics. Knowledge of health care related data is a plus.
Advanced knowledge of Microsoft applications including Access, Word, Excel, Project and Outlook. Experience with online business intelligence report writing is a significant plus.
Advanced investigational skills, shows attention to detail, accuracy and ability to manage and prioritize multiple tasks.
Strong individual contributor, but equally as strong team player that focuses and supports group results.
Must be able to work independently, prioritize and make sound business decisions.
Experience in environments where HIPAA policies and procedures are enforced is a plus.
Must be available periodically on weekends or evenings to support user testing and PPMT production migration.
BEHAVIORAL ATTRIBUTES
Communicates with others in a respectful, courteous manner while simultaneously building credibility and rapport.
Presents clear and accurate information and updates to clients, colleagues and leaders; adapts presentation to fit audience.
Able to communicate effectively with IT programmers to investigate and resolve issues or to design and implement system improvements.
Anticipates, understands and addresses client needs by taking ownership of and initiating action on client requests and concerns.
Establishes client confidence by developing and maintaining professional working relationships; utilizes resources to accomplish goals and meet client and team needs.
Prepares accurate information based on client requests or needs.
Provides excellent client service in multiple assignments.
Willing to work nights or weekends to ensure client needs are met.
Applicants for employment must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States (i.e. H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).

Qualified applicants will be afforded equal employment opportunities without discrimination because of race, creed, color, national origin, sex, age, disability or marital status.

Apply Now",4.2,"SullivanCotter
4.2","Minneapolis, MN","Chicago, IL",201 to 500 employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies",32,64,48.0,SullivanCotter, MN,0,28,1,0,0,0
Business Analyst (2 positions available),$32K-$64K (Glassdoor est.),"CMHA-CEI has two Business Analyst positions available! Each position has a bit different duties, they will both report the Business Analyst Manager. Duties for each below:
Business Analyst (20-132): Under the supervision of the Business Analyst Manager, with dotted line responsibility to the Chief Financial Officer, and working with a team of other Business Analysts and IT specialists, assists in the design, testing and implementation of software systems used by CMHA-CEI for operational, management and reporting purposes (with an emphasis on supporting claims payment and financial systems.) Collects and prioritizes internal customer requests. Designs report layouts, procedures for data input, and time line requirements. Develops procedures for keeping the data set up-to-date and accurate. Works with end users in the design and development of new documents and other enhancements to the agency’s software systems. When needed, provides end user support for the software systems.
Business Analyst (20-135): Under the supervision of the Business Analyst Manager, and working with a team of other Business Analysts and IT specialists, assists in the design, testing and implementation of behavioral health software systems used by CMHA for operational, management and reporting purposes. Collects and prioritizes internal customer requests. Designs report layouts, procedures for data input, and time line requirements. Develops procedures for keeping the data up-to-date and accurate. Works with end users in the design and development of new clinical documents and other enhancements to the agency’s electronic health record. When needed, provides end user support for the behavioral health software systems.
Bachelor’s Degree in Computer Science, Information Systems, Management, Business Accounting or related field is required. A combination of education and directly related experience will be considered on a case by case basis. One year of experience analyzing business information, processes and requirements gathering preferred. Knowledge of principles of accounting and financial statements preferred. Knowledge of medical billing preferred. Strong skills in the use of spreadsheets. Working familiarity with databases, including underlying concepts. Ability to communicate accurately and effectively both in writing and verbally is required.
About Community Mental Health Authority: Community Mental Health Authority of Clinton, Eaton, and Ingham Counties was founded on the belief that mental health services are best provided in the community in which the person receiving such service lives. CMHA-CEI provides a wide range of community-based services. Annually, the organization serves over 10,000 persons at 122 sites through the tri-county region.
CMHA-CEI is a front runner in mental health awareness and change. Are you interested in joining us?
Compensation: We offer a very compelling salary commensurate with experience and a complete benefits package (Health, Dental, Disability, Defined Benefit through 403B), Public Service Loan Forgiveness,vacation, sick and personal days. We’re serious about finding good people and treating them well.",3.6,"Community Mental Health Authority
3.6","Lansing, MI","Lansing, MI",1001 to 5000 employees,1964,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,32,64,48.0,Community Mental Health Authority, MI,1,56,0,0,0,0
JD Edwards Techno-Functional Analyst,$32K-$64K (Glassdoor est.),"This is a work from home position!

Why are long tenures and low turnover rates the norm at DMA? When you are an employee owned company, you are all about your employees, and here is proof:
Employee stock ownership program eligibility begins day ONE of employment. ESOP contribution is targeted at 8% of your annual compensation.
COMPANY PAID Paternity& Maternity Leave.
COMPANY PAID volunteer time off.
Company match charitable giving
Fitness Reimbursement program.
Standing desk reimbursement.
100% company paid professional development.
3 weeks of PTO your first year.
Multiple benefit plans, eligible day one of employment- NO WAITING PERIOD.
Modern, laid back office environment.
Executive team invested in the success and happiness of our employees.

Position Summary

The JD Edwards E1 Analyst role will be techno-functional in nature with a focus on sales and use tax calculations within different JDE modules. Major focus will be in Order-To-Cash, Procure-To-Pay, and Finance/Accounting. Knowledge in other modules would be appreciated. The most successful candidate will be a dynamic individual who can contribute to DMA’s business development model and build strong relationships with DMA partners.

Duties and Responsibilities

• Act as a main functional SME for JDEOrder-To-Cash, Procure-To-Pay and Finance modules.

• Help clients to design and implement sales and use tax calculation and accounting processes utilizing DMA tax Integration solution. Provide guidance on tax accounting standards and best practices.

• Work with clients to gather business requirements and compile them into functional design document.

• Work with DMA development team to translate the functional requirements into the technical design.

• Prepare unit and regression test plan based on the functional requirements.

• Create test data, unit and regression testing and document the test.

• Prepare training materials and conduct training sessions for clients on new JDE functionality implemented by DMA.

• Based on the industry best practices and current market trends, identify the gaps in DMAs existing solution offerings and prepare suggesting to fill those gaps.

• Monitor issue tracking system, triage support tickets. Isolate software bugs vs. other issues. Route the bug tickets to development team. Work with clients on resolution of the other issues.

• Help clients with data conversion activities related to tax connector implementation.

• Have a working knowledge of the JDE technical architecture.

• Understand JDE E1 development process, be able to work with E1 Development Client (Fat client), use OMW, create and maintain UBE applications and version.

• Be able to read and interpret the JDE logs.

• Manage multiple priorities and projects with critical deadlines.

Non-Essential Duties and Responsibilities

• Have a good understanding of other E1 modules such as Service and Warranty Management, Service and Contract billing etc. that uses tax calculation.

• Have a good understanding of JDE standard integration with JDE Vertex Q Series.

• Being familiar with JDE Word Software.

• Good knowledge of JDE interoperability functionality.

• Being able to read and / or debug JDE C functions is a plus.

• Being familiar with Java and JDE BSSV is a plus.

• Have experience of integrating JDE with other systems such as external tax engines.

• Having experience with some tax calculation software is a plus.

Education and Qualifications

• Bachelor degree in Information Technology, Accounting, Finance or other related fields.

• At least 5 years of techno-functional experience in JDE Order-To-Cash, Procure-To-Pay and Finance/Accounting.

• Strong oral, written communication and presentation skills.

• Experience with software QA processes.

• Must be able to travel 50 %.",3.9,"DuCharme, McMillen & Associates
3.9","Irving, TX","Fort Wayne, IN",201 to 500 employees,1972,Company - Private,Accounting,Accounting & Legal,$50 to $100 million (USD),-1,32,64,48.0,"DuCharme, McMillen & Associates", TX,0,48,0,0,0,0
Enterprise Risk Analyst,$32K-$64K (Glassdoor est.),"We are hiring a Risk Analyst to join our Enterprise Risk team. In this role, you will conduct enterprise wide focused risk assessments. Qualified candidates will have 1-3 years of experience in a risk management, or compliance analyst role. You will have knowledge of financial industry operations, products and services, exceptional analytical skills, and the ability to balance multiple assignments with exceptional attention to detail.

Here’s what you can expect from the job and what you need to be successful:

Job Duties:
Complete enterprise wide and targeted risk assessments from the design phase through communicating/presenting results and analysis to senior management and/or board of directors
Identify and report levels of risk in the organization through risk reports and dashboards
Audit data and establish quality control measures
Create reports and summaries, and document processes
Analyze data to calculate risks and outcomes
Aggregate and transform data from multiple sources to produce consistent results
Essential Skills:
1-3 years of experience in a complex analyst role with a broad knowledge of financial industry operations, functions, products, and services
Expert knowledge of Excel, including the use of Pivot Tables and Macros
Ability to organize, analyze, and interpret data to explain complex irregularities or trends
Ability to manage interdepartmental initiatives, coordinate with business units, and document processes
Excellent organizational, time management, and adaptability skills
Ability to manage multiple conflicting priorities across multiple projects/initiatives
Technology savvy; proficiency with Microsoft suite of products including Word and PowerPoint
Strong verbal and written communication skills and ability to collaborate with internal/external partners and key stakeholders
Must be able to maintain confidentiality with member and employee information
Bachelor’s degree in Business Administration or related field of study is generally required. Will accept any suitable combination of education, experience, or training
Location: Hillsboro Corporate Office

First Tech is not currently offering Visa sponsorship for this position",3.4,"First Tech Federal Credit Union
3.4","Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,32,64,48.0,First Tech Federal Credit Union, OR,0,68,1,0,0,0
Business Systems Analyst,$76K-$90K (Glassdoor est.),"MBC is a fast-growing firm that is seeking Business Systems Analysts with experience providing strategic or technical expertise for complex SAP engagements for Federal Government agencies or Fortune 500 companies that have undergone a financial statement audit and received an unmodified opinion.

**This role will be based in Arlington, VA.** Multiple positions available.

Client Management, Qualifications and Responsibilities
• Experience supporting IT system audit readiness, IT audit reviews, IT system control documentation, or FISCAM and Risk Management Framework (RMF) implementation and sustainment capabilities.

•A strong technical knowledge of data/financial systems (implementing, managing, optimizing) is required

•Provide support to clients’ technical areas such as accounting procedures, IT control projects, and compliance services
• Develop or update Navy ERP training materials and curriculum for eventual Navy roll-out.

• Draft functional specification documents for input to Business Requirements Documents (BRDs), System Change Requests (SCRs), Engineering Change Proposals (ECPs)& interface agreements including impact statement.

•Develop new interface agreements or modification of existing interface agreements as required.

• Define system/process requirements and impacts for BSOs/Commands

Minimum Requirements:
• Candidate must have 5 years of full-time (excluding internships) experience within the past 10 years of progressive experience providing financial systems or business systems services to the Federal Government agencies or Fortune 500 companies.

•Candidate must be knowledgeable in coordinating across multiple organizations, risk and issue management, and managing multiple priorities. Knowledge should also include financial management systems architecture and solution design, data conversion, cutover, change management, system security and audit controls.

•Candidate must have an understanding of the configuration of SAP and its Modules.

•Bachelor's Degree from an accredited United States college or university in Business, Accounting, Finance, Computer Science, Engineering, Mathematics, or Information Systems
• DoD SECRET clearance or ability to obtain a clearance

• Proficiency with the web and MS Office Suite applications (Word, Excel, PowerPoint and SharePoint)

Preferred Qualifications:

• Experience with DoD audit processes and FIAR Guidance

• Experience in FISCAM, OMB Circular A-123, audit readiness, and/or FISMA security reviews

•Business Process Improvement

•Business Process Documentation
• Knowledge of Federal financial statement auditing practices
• A strong technical knowledge of data/financial systems (implementing, managing, optimizing)

• Experience in performing information assurance, information security, risk management, IT application controls and technologies (e.g., COSO, ERM, FISCAM, FISMA, NIST), financial statement audits and/or auditability assessments
• Knowledge of the Financial Audit Manual (FAM), FIAR approaches and information system controls in areas of information assurance, access control, change control, segregation of duties, data base administration and data privacy
• Excellent writing and communications skills

MBC is an Equal Opportunity / Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, disability, sex, sexual orientation, gender identity, national origin, or protected veteran status. We participate in the E-Verify Employment Verification Program.",3.7,"Morgan Borszcz Consulting
3.7","Arlington, VA","Arlington, VA",51 to 200 employees,2003,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,76,90,83.0,Morgan Borszcz Consulting, VA,1,17,1,0,0,0
Business Analyst,$76K-$90K (Glassdoor est.),"Supports business operations by analyzing, soliciting, and formalizing requirements. Assesses current practices, collects information and analyzes industry trends to determine and align to organizational objectives. Creates business specifications from which solutions will be designed. Helps design new solutions by analyzing and interpreting clients' requirements. Makes recommendations and improves system by studying the products and the usage of them. Prepares data and reports by analyzing and summarizing the information and trends. Responsible for developing and maintaining dashboards in Azure DevOps. Responsible for providing guidance concerning the business implications of the application of various systems. Will have quality assurance responsibilities as well. Lead/facilitate agile/SCRUM ceremonies meetings. Handles complex issues and problems and engages higher-level staff on complex and risk laden issues as necessary. Possesses comprehensive knowledge of P&C insurance subject matter. Provides coaching, and/or mentoring to a subordinate group.

Preferred Experience and Skills:
Bachelor’s degree, equivalent experience or combination
4-6 years of related experience
Oral and written communication skills
Problem management
Complex problem solving and critical thinking
Ability to build collaborative relationships
Analytical thinking skills
Leadership skills
Agile/SCRUM methodology experience
Azure DevOps/VSTS experience
Property and Casualty insurance experience and/or data knowledge",3.5,"West Bend Mutual Insurance Co.
3.5","West Bend, WI","West Bend, WI",1001 to 5000 employees,1894,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),"State Farm, Acuity Insurance",76,90,83.0,West Bend Mutual Insurance Co., WI,1,126,0,0,0,0
Business Analyst,$76K-$90K (Glassdoor est.),"Healthgrades is focused on providing trusted information that allows consumers and providers to make meaningful connections. As a Business Analyst, you will work with our broad healthcare client base to implement and optimize client use of our enterprise solutions. You will work directly with the Healthgrades implementation team and external clients to collect, analyze, and evaluate user needs.

What You Will Do:
Lead client workshops to collect and document client business requirements and objectives for the implementation of Healthgrades health system solutions
Understand and translate client requirements to applicable system configurations, test scripts and other artifacts required for implementation
Ensure client requirements that are outside contractual or accepted Healthgrades implementation protocol are properly vetted
Configure, test, and deploy solutions in alignment with client requirements, and monitor deliverables to ensure on-time delivery of projects and tasks
Establish and maintain excellent working relationships with both client and internal personnel
Manage client expectations related to system capabilities with transparency to any requirements that fall out-of-scope or otherwise fall under Healthgrades' vetting process
Identify product requirements and provide feedback for future product enhancements
What You Will Bring:
Bachelor's degree in Business, Computer Science or relevant field, or an MBA
3+ years of Business Analyst experience, including strong documentation experience
Excellent collaboration and communication skills, including leading large-group presentations with confidence
Ability to influence stakeholders and work closely with them to determine acceptable solutions
Strong problem-solving, analytical, and conceptual thinking skills
Demonstrated ability to plan, prioritize, and stay organized in a dynamic environment
Willing to travel up to 25% of the time
Bonus: experience with Salesforce implementations, healthcare industry, and marketing technology
Why Healthgrades?

At Healthgrades, we recognize that our people drive our greatest achievements. We are passionate about maintaining a fulfilling, rewarding and high-energy work environment while setting the stage for your continued success.
Meaningful Work empowering consumers with data to make the right healthcare decisions for themselves and their families
Changing the Game dynamic culture with career advancement opportunities
Community Builders partners of local charity organizations, Go-Green efforts and wellness initiatives
Robust Perks generous PTO, inclusive healthcare, learning & development programs, 401k contributions, tuition repayment, family planning resources & more",3.1,"Healthgrades
3.1","Farmington, CT","Denver, CO",501 to 1000 employees,1998,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Sapphire Digital",76,90,83.0,Healthgrades, CT,0,22,1,0,0,0
FP&A Analyst - Commerical,$76K-$90K (Glassdoor est.),"FP&A Analyst - Commerical

Job Details
Level
Experienced
Job Location
Corporate - Fort Worth, TX
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
Undisclosed
Job Shift
Day
Job Category
Finance
Description
JOB PURPOSE


The FP&A Analyst – Commercial supports finance, sales, and marketing leaders in developing accurate and insightful analysis and KPI reporting. The position will be responsible for providing recommendations and expected to have a highly analytical skillset with strong attention to detail and accuracy. The successful candidate will be expected to develop sales reporting and dashboards used to analyze and monitor the business. Candidate will also assist in the implementation of company pricing strategy and provide leadership and initiative in identifying sales and operational improvements. Must be able to communicate analysis effectively through oral and visual presentation and take accountability for accuracy of information. Experience with analytical software and tools to report and visualize data is required. Must have a strong desire to learn and be capable of solving complex problems with little to no supervision.

DUTIES & RESPONSIBILITIES
Utilize company data and systems to develop meaningful analysis that serve to analyze, measure, and support company strategies
Own report and dashboarding in ERP and Tableau to communicate sales KPI
Assist sales team in analysis and implementation of company pricing strategy
Manage monthly commissions process and provide insights and analysis to improve incentive programs
Support weekly and monthly development of financial and operational reporting to internal stakeholders
Assist in preparation of monthly business review slides for c-suite and ownership group
Qualifications
3-5 years relevant experience
Significant experience with developing reporting and analysis from an ERP; NetSuite preferred
Experience with data visualization & reporting tools (Tableau or similar)
Pricing and commissions experience preferred
Expertise analyzing and designing business processes and recommending improvements
Desire to learn and take initiative to solve problems and assist cross-functional stakeholders
MS Office experience, highly proficient in Excel and PowerPoint
BA or BS in finance or related field",3.5,"Clarus Glassboards
3.5","Fort Worth, TX","Fort Worth, TX",201 to 500 employees,2009,Company - Private,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),-1,76,90,83.0,Clarus Glassboards, TX,1,11,1,0,0,1
